"id","title","link","category","published","summary","image"
304,"„Mikor lett ilyen csodálatos nagylány?” – Demcsák Zsuzsa videót posztolt szalagavatóra készülő lányáról","https://24.hu/szorakozas/2025/04/22/demcsak-zsuzsa-lanya-tamara-szalagavato-ruhaproba/","szorakozas","2025-04-22 17:44:50","<p>Tamara idén lesz 19 éves.</p>
<p>The post <a href=""https://24.hu/szorakozas/2025/04/22/demcsak-zsuzsa-lanya-tamara-szalagavato-ruhaproba/"" target=""_blank"">„Mikor lett ilyen csodálatos nagylány?” – Demcsák Zsuzsa videót posztolt szalagavatóra készülő lányáról</a> first appeared on <a href=""https://24.hu/"" target=""_blank"">24.hu</a>.</p>","http://localhost:8000/images/2025_04_22/38ae54ef71ca43ee86d4b297603a6372.webp"
305,"Megjöttek a Pride melletti tüntetők: óriási lett a dugó a Ferenciek terén (Videó)","https://mandiner.hu/belfold/2025/04/megjottek-a-pride-melletti-tuntetok-oriasi-lett-a-dugo-a-ferenciek-teren-video-2","belfold","2025-04-22 17:44:34","Hadházy zebrajelmezes és diktatúrázó követői ezúttal sem segítik a hazafelé közlekedőket.","http://localhost:8000/images/2025_04_22/77d27279767a459ea326fe6547380849.webp"
306,"Moszkvába megy Trump megbízottja","https://www.portfolio.hu/global/20250422/moszkvaba-megy-trump-megbizottja-756395","global","2025-04-22 17:34:00","<p>Ezen a héten várható az amerikai elnök különmegbízottja, Steve Witkoff újabb moszkvai látogatása - közölte Jurij Usakov, az orosz államfő külpolitikai tanácsadója kedden Moszkvában.</p>","http://localhost:8000/images/2025_04_22/44f071e46b2c4aa2a0ad4916141e3b74.webp"
307,"A rendőrök nem engednek","https://24.hu/belfold/2025/04/22/a-rendorok-nem-engednek/","belfold","2025-04-22 17:42:21","<p>Egyelőre senkit sem engednek át a másik oldalra, a rendőrök blokkolják az emberek útját a zebra előtt.</p>
<p>The post <a href=""https://24.hu/belfold/2025/04/22/a-rendorok-nem-engednek/"" target=""_blank"">A rendőrök nem engednek</a> first appeared on <a href=""https://24.hu/"" target=""_blank"">24.hu</a>.</p>","http://localhost:8000/images/2025_04_22/384b6d3cbe794dc4a4b872bf59ec59e0.webp"
308,"Kiderült, mit gondolnak a románok országuk EU- és a NATO-tagságáról","https://mandiner.hu/kulfold/2025/04/kiderult-mit-gondolnak-a-romanok-orszaguk-eu-es-a-nato-tagsagarol","kulfold","2025-04-22 17:26:28","A felmérést mintegy háromezer román állampolgár bevonásával végezték el április közepén.","http://localhost:8000/images/2025_04_22/247dcd94161d4731bb89f41b4cd3737e.webp"
309,"Felpattanás az amerikai tőzsdéken, történelmi csúcson az arany, szárnyalnak a kriptók","https://www.portfolio.hu/uzlet/20250422/felpattanas-az-amerikai-tozsdeken-tortenelmi-csucson-az-arany-szarnyalnak-a-kriptok-756157","uzlet","2025-04-22 17:15:00","<p>Miközben hétfőn az európai tőzsdéken szünetelt a kereskedés húsvét miatt, az amerikai piacok nyitva voltak és nem is telt eseménytelenül a nap, jelentős ütést kaptak a tőzsdeindexek. A lejtmenet kiváltó oka, hogy Donald Trump elnök pénteken újabb támadásokat intézett Jerome Powell jegybankelnök ellen, ez pedig aggodalmat keltett a befektetők körében a központi bank függetlenségével kapcsolatban. Az ázsiai tőzsdéken nem volt határozott irány ma reggel, az európai indexek pedig mérsékelt csökkenésekkel nyitottak, majd délutánra elkezdtek pluszba fordulni. Mindeközben az arany történelmi csúcsot döntött ma, a bitcoin pedig ismét 90 ezer dollár fölé emelkedett. A mai kereskedést viszont felpattanással kezdték az amerikai indexek és a magyar tőzsdén is jó volt a hangulat, a hazai blue chipek masszív emelkedéseket mutattak.<br />
<br />
Május 8-án lesz a Portfolio Investment Day 2025 befektetési konferenciánk, ahol profi szakemberek osztják meg befektetési ötleteiket, legyen szó a részvény-, állampapír-, nyersanyag-, kripto-, ingatlan- vagy műtárgypiacról. <a href=""https://www.portfolio.hu/rendezvenyek/konferencia-gazdasag/portfolio-investment-day-2025/1819/attekintes"">Jelentkezés itt.</a></p>","http://localhost:8000/images/2025_04_22/073ec3159f8a47e7afa06714622cbcf1.webp"
310,"George Clooney azt állítja, még sosem veszekedtek a feleségével","https://24.hu/szorakozas/2025/04/22/george-clooney-es-felesege-amal-clooney-meg-sosem-veszekedtek/","szorakozas","2025-04-22 17:31:34","<p>Bevallása szerint nem telik el nap, hogy ne gondolná azt, ő a legszerencsésebb ember a világon.</p>
<p>The post <a href=""https://24.hu/szorakozas/2025/04/22/george-clooney-es-felesege-amal-clooney-meg-sosem-veszekedtek/"" target=""_blank"">George Clooney azt állítja, még sosem veszekedtek a feleségével</a> first appeared on <a href=""https://24.hu/"" target=""_blank"">24.hu</a>.</p>","http://localhost:8000/images/2025_04_22/1bfb60c0f0a849988dd76d280bbe2f16.webp"
311,"Hatlépcsős protokoll miatt késhet Gulácsi visszatérése a szörnyű sérülése után","https://mandiner.hu/sport/2025/04/hatlepcsos-protokoll-miatt-keshet-gulacsi-visszaterese-a-szornyu-serulese-utan","sport","2025-04-22 17:19:49","Lőw Zsolték a legrosszabb pillanatban veszíthetik el első számú kapusukat.","http://localhost:8000/images/2025_04_22/8dda88deb1764da0b01ae5a1105a5482.webp"
312,"Erős napja volt a magyar tőzsdének, ralizott a Magyar Telekom","https://www.portfolio.hu/uzlet/20250422/eros-napja-volt-a-magyar-tozsdenek-ralizott-a-magyar-telekom-756393","uzlet","2025-04-22 17:15:00","<p>A pozitív nemzetközi hangulat mellett jelentős emelkedéssel zárt a BUX index. A blue chipek kivétel nélkül emelkedtek, élen a Magyar Telekommal.</p>","http://localhost:8000/images/2025_04_22/196c2c4a68d7434f839616cabcf3842d.webp"
313,"Videón, ahogy lepecsételik Ferenc pápa lakosztályának ajtaját","https://index.hu/kulfold/2025/04/22/videon-ahogy-lepecsetelik-ferenc-papa-lakosztalyanak-ajtajat-klinika-vance/","kulfold","2025-04-22 17:44:00","Ferenc pápa életének 89. évében, hétfő reggel halt meg agyvérzés és szívelégtelenség következtében.","http://localhost:8000/images/2025_04_22/c457ced5685849bdb378dc2fd83216a8.webp"
